hypothesis_id,question,method,statistic,p_value,effect_or_context,effect_magnitude,decision
H1,Онлайн и офлайн отличаются по скидке?,Mann–Whitney U,13603289.5,8.609826210380036e-17,avg online=0.071; avg offline=0.064; rank-biserial=0.096,малый,Различия статистически значимы
H2,Категория связана с возвратом?,Chi-square,55.978003306031596,2.9409255990195035e-10,dof=6; Cramers V=0.075,малый,Связь статистически значима
H3,Скидка связана с количеством?,Spearman,0.08216269054272489,2.0544289724253716e-16,rho=0.082,очень слабый,Связь статистически значима
